id,name,name_en,tri_code,alias,py,map_info,time_zone,summer_zone,summer_start,summer_end,grade,dur,transit_visa,visit_num,region_id,summer_start_next_year,summer_end_next_year,country_id,trans_degree,is_schengen,new_product_city_pic,is_park,prov_id,official,status_online,status_test,dept_status_online,dept_status_test
,巴黎,Paris,PAR,NULL,bali,"2.351492339147967,48.85746107178952",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,1,4,TerminalChange,98647,rg001,2018-03-25T02:00:00,2018-10-28T03:00:00,201,0,1,10001_1.jpg|10001_2.jpg|10001_3.jpg|10001_4.jpg,0,,0,Open,Open,Open,Open
,罗马,Rome,ROM,Roma,luoma,"12.481919085180607,41.893555215391714",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,1,4,TerminalChange,75821,rg002,2018-03-25T02:00:00,2018-10-28T03:00:00,205,0,1,10002_1.jpg|10002_2.jpg|10002_3.jpg|10002_4.jpg|10002_5.jpg,0,,0,Open,Open,Close,Close
,威尼斯,Venice,VCE,Venezia,weinisi,"12.31551509999997,45.4408474",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,2,2,TerminalChange,66590,rg002,2018-03-25T02:00:00,2018-10-28T03:00:00,205,-1,1,10003_5.jpg|10003_3.jpg|10003_1.jpg,0,,0,Open,Open,Close,Close
,佛罗伦萨,Florence,FLR,Firenze,fuluolunsa,"11.248000600000069,43.7710332",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,2,3,TerminalChange,63650,rg002,2018-03-25T02:00:00,2018-10-28T03:00:00,205,1,1,10004_4.jpg|10004_3.jpg|10004_5.jpg,0,,0,Open,Open,Close,Close
,米兰,Milan,MIL,Milano,milan,"9.186515999999983,45.4654542",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,2,1,TerminalChange,52937,rg002,2018-03-25T02:00:00,2018-10-28T03:00:00,205,0,1,10005_2.jpg|10005_1.jpg|10005_3.jpg,0,,0,Open,Open,Close,Close
,巴塞罗那,Barcelona,BCN,NULL,basailuona,"2.1734034999999494,41.3850639",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,1,4,TerminalChange,47528,rg002,2018-03-25T02:00:00,2018-10-28T03:00:00,204,0,1,10006_1.jpg|10006_2.jpg|10006_3.jpg|10006_4.jpg|10006_5.jpg,0,,0,Open,Open,Open,Open
,阿姆斯特丹,Amsterdam,AMS,NULL,amusitedan,"4.895167899999933,52.3702157",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,2,3,TerminalChange,40556,rg001,2018-03-25T02:00:00,2018-10-28T03:00:00,207,0,1,10007_1.jpg|10007_2.jpg|10007_5.jpg,0,,0,Open,Open,Open,Open
,慕尼黑,Munich,MUC,Muenchen,munihei,"11.581980599999952,48.1351253",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,2,3,TerminalChange,43077,rg003,2018-03-25T02:00:00,2018-10-28T03:00:00,202,0,1,10008_2.jpg|10008_1.jpg,0,,0,Open,Open,Open,Open
,伦敦,London,LON,NULL,lundun,"-0.12759207730709932,51.50776832728631",0,1,2017-03-26T01:00:00,2017-10-29T02:00:00,1,4,yes,44228,rg001,2018-03-25T01:00:00,2018-10-28T02:00:00,203,0,0,10009_1.jpg|10009_4.jpg|10009_5.jpg|10009_2.jpg,0,,0,Open,Open,Open,Open
,维也纳,Vienna,VIE,Wien,weiyena,"16.37381890000006,48.2081743",1,2,2017-03-26T02:00:00,2017-10-29T03:00:00,2,2,TerminalChange,33279,rg003,2018-03-25T02:00:00,2018-10-28T03:00:00,210,1,1,10010_1.jpg|10010_2.jpg|10010_3.jpg|10010_4.jpg|10010_5.jpg,0,,0,Open,Open,Open,Open