id,name,name_en,
20141,镰仓,Kamakura,
20144,御殿场,Godenba,
20147,和歌山,Wakayama,
20148,神户,Kobe,
20151,宇治,Uji,
20158,熊本,Kumamoto,
20159,长崎,Nagasaki,
20160,鹿儿岛,Kagoshima,
20162,仙台,Sendai,
20163,青森,Aomori,
20167,小樽,Otaru,
20170,函馆,Hakodate,
20171,登别,Noboribetsu,
20172,旭川,Asahikawa,
20176,知床,Shiretoko,
20181,冲绳,Okinawa,
20241,松山,Matsuyama,
20242,高知,Kochi,
20247,高松,Takamatsu,
20248,福岛,Fukushima,
20249,宫崎,Miyazaki,
20252,新潟,Niigata,
20255,大分,Oita,
20261,静冈,Shizuoka,
20264,长野,Nagano,
20265,德岛,Tokushima,
20266,冈山,Okayama,
20267,佐贺,Saga,
20292,石垣岛,Ishigaki Island,
20293,宫古岛,Miyakojima,
20297,奄美大岛,Amami Oshima,
20302,高山,Takayama,
20304,松本,Matsumoto,
20310,日光,Nikko,
20311,埼玉,Saitama,
20312,花卷,Hanamaki,