菲律宾菜,179,,,
中亚风味,,401,Central Asian,TR0007
比利时菜,164,,,
红,,0,,
环太平洋风味,301,,,
波利尼西亚菜,,402,Polynesian,TR0013
摩洛哥菜,192,,,
土耳其菜,256,,,
加拿大菜,180,,,
尼泊尔菜,325,,,
厄瓜多尔菜,,403,Ecuadorian,TR0004
马来西亚菜,289,,,
闽菜,,404,Min,TR0015
葡萄牙菜,345,,,
委内瑞拉菜,317,,,
牙买加菜,238,,,
不含麸质,182,,,
非洲料理,239,,,
乌克兰菜,326,,,
中欧风味,248,,,
素食,287,,,
巴西菜,263,,,
周围地区: District VII,,0,,
埃及菜,321,,,
中美风味,331,,,
建筑物,,0,,
各国料理,309,,,
周围地区: North Beach,,0,,
夏威夷菜,214,,,
西班牙菜,355,,,
格鲁吉亚菜,,407,Georgian,TR0007
意餐,187,,,
亚美尼亚菜,173,,,
拉脱维亚菜,,408,Latvian ,TR0005
荷兰菜,170,,,
民族风味,334,,,
亚洲料理,330,,,
北欧风味,,409,Nordic,TR0005
印尼菜,213,,,
以色列菜,308,,,
Jewish Qua,291,,,
埃塞俄比亚菜,249,,,
捷克菜,299,,,
周围地区: Beyoglu,,0,,
柬埔寨菜,,410,Cambodian,TR0007
Telegraph Hill,,0,,
波多黎各菜,195,,,
Gamla Staden,,0,,
英国菜,339,,,
高加索菜,,411,Caucasian,TR0005
智利菜,229,,,
爱尔兰菜,297,,,
哥斯达黎加菜,,412,Costa Rican,TR0004
罗马尼亚菜,,413,Romanian,TR0005
阿拉伯风味,158,,,
美式烹饪,302,,,
牛排馆,188,,,
缅甸菜,237,,,
中东风味,258,,,
素食选项,287,,,
提供无麸质美食,182,,,
南美风味,240,,,
拉丁风味,262,,,
健康餐饮,336,,,
黎巴嫩菜,332,,,
斯洛文尼亚菜,,414,Slovenian,TR0005
周,,0,,
街边小吃,208,,,
加勒比海,,415,Caribbean,TR0002
景点与地标,,0,,
苏格兰菜,197,,,
咖啡馆,333,,,
阿根廷菜,163,,,
蒙古菜,304,,,
美国新奥尔良风味,302,,,
美国西南风味,302,,,
阿塞拜疆,,416,Azerbaijan,TR0005
丹麦菜,212,,,
巴哈马菜,,417,Bahamas,TR0002
古巴菜,230,,,
德国菜,193,,,
阿尔巴尼亚菜,,418,Albanian,TR0005
酒吧餐,243,,,
匈牙利菜,271,,,
澳洲菜,316,,,
波兰菜,199,,,
晚餐,,419,Dinner,TR0012
法餐,171,,,
瑞士菜,341,,,
秘鲁菜,348,,,
萨尔瓦多菜,149,,,
巴基斯坦菜,351,,,
新疆菜,,420,Xinjiang,TR0015
近现代风格,,421,Contemporary,TR0012
乌兹别克菜,,422,Uzbekistan,TR0007
哥伦比亚菜,318,,,
奥地利菜,160,,,
犹太洁食,291,,,
提供素食,287,,,
危地马拉,,423,Guatemalan,TR0002
希腊菜,246,,,
波斯风味,224,,,
日式料理,314,,,
汤,340,,,
瑞典菜,202,,,
巴尔蒂锅菜,,424,Balti,TR0007